asym r=-5.500 g=1.750 m0=1.000000 m1=-1.237000 m2=1.595000 m3=-2.120424 m4=2.894908 m5=-4.037345 m6=5.731564 m7=-8.257221 m8=12.043829 m9=-17.751937 m10=26.401398 m11=-39.571371 m12=59.714380 m13=-90.649684 m14=138.340221 m15=-212.118081 m16=326.620878 m17=-504.856207 m18=783.058805 m19=-1218.400157 m20=1901.242301 m21=-2974.639388 m22=4665.411728 m23=-7333.717113 m24=11552.217505 m25=-18232.643212 m26=28828.334349 m27=-45658.678898 m28=72429.282968 m29=-115066.684443 m30=183058.928267 m31=-291610.287679 m32=465107.216355
sym  r=-5.500 g=1.750 m0=1.000000 m1=0.000000 m2=0.780000 m3=0.000000 m4=0.755714 m5=0.000000 m6=0.816633 m7=0.000000 m8=0.944473 m9=0.000000 m10=1.143826 m11=0.000000 m12=1.432148 m13=0.000000 m14=1.838875 m15=0.000000 m16=2.408124 m17=0.000000 m18=3.203995 m19=0.000000 m20=4.318808 m21=0.000000 m22=5.885306 m23=0.000000 m24=8.094528 m25=0.000000 m26=11.221908 m27=0.000000 m28=15.665391 m29=0.000000 m30=22.001159 m31=0.000000 m32=31.065222
asym r=-5.500 g=1.800 m0=1.000000 m1=-1.188000 m2=1.477000 m3=-1.902908 m4=2.523072 m5=-3.422891 m6=4.730900 m7=-6.639329 m8=9.436798 m9=-13.557405 m10=19.656085 m11=-28.723641 m12=42.263128 m13=-62.560567 m14=93.101308 m15=-139.211411 m16=209.047304 m17=-315.125115 m18=476.687430 m19=-723.371021 m20=1100.898087 m21=-1679.918290 m22=2569.762072 m23=-3939.857117 m24=6053.113218 m25=-9318.016777 m26=14369.998841 m27=-22198.643811 m28=34346.739760 m29=-53222.006089 m30=82585.676682 m31=-128318.868302 m32=199625.561492
sym  r=-5.500 g=1.800 m0=1.000000 m1=0.000000 m2=0.759000 m3=0.000000 m4=0.718681 m5=0.000000 m6=0.759825 m7=0.000000 m8=0.860067 m9=0.000000 m10=1.019580 m11=0.000000 m12=1.249686 m13=0.000000 m14=1.570855 m15=0.000000 m16=2.013939 m17=0.000000 m18=2.623320 m19=0.000000 m20=3.461954 m21=0.000000 m22=4.618796 m23=0.000000 m24=6.219523 m25=0.000000 m26=8.441910 m27=0.000000 m28=11.537872 m29=0.000000 m30=15.865077 m31=0.000000 m32=21.932321
asym r=-5.500 g=1.850 m0=1.000000 m1=-1.136000 m2=1.363000 m3=-1.702048 m4=2.193325 m5=-2.895676 m6=3.898002 m7=-5.330349 m8=7.384444 m9=-10.342170 m10=14.619461 m11=-20.831161 m12=29.888611 m13=-43.145757 m14=62.618808 m15=-91.316664 m16=133.738929 m17=-196.627451 m18=290.102097 m19=-429.379402 m20=637.376463 m21=-948.660702 m22=1415.447862 m23=-2116.720150 m24=3172.101755 m25=-4762.994477 m26=7164.802128 m27=-10796.105107 m28=16293.764867 m29=-24627.724594 m30=37276.624378 m31=-56496.647724 m32=85733.390001
sym  r=-5.500 g=1.850 m0=1.000000 m1=0.000000 m2=0.739000 m3=0.000000 m4=0.684392 m5=0.000000 m6=0.708399 m7=0.000000 m8=0.785284 m9=0.000000 m10=0.911810 m11=0.000000 m12=1.094720 m13=0.000000 m14=1.347956 m15=0.000000 m16=1.692914 m17=0.000000 m18=2.160216 m19=0.000000 m20=2.792737 m21=0.000000 m22=3.650098 m23=0.000000 m24=4.815076 m25=0.000000 m26=6.402645 m27=0.000000 m28=8.572729 m29=0.000000 m30=11.548134 m31=0.000000 m32=15.639820
asym r=-5.400 g=1.700 m0=1.000000 m1=-1.276000 m2=1.690000 m3=-2.303400 m4=3.218023 m5=-4.588485 m6=6.655275 m7=-9.792100 m8=14.582674 m9=-21.941829 m10=33.308502 m11=-50.953364 m12=78.470547 m13=-121.565203 m14=189.317442 m15=-296.214536 m16=465.424176 m17=-734.075419 m18=1161.792156 m19=-1844.502714 m20=2936.819150 m21=-4688.352380 m22=7502.715325 m23=-12033.503093 m24=19340.600780 m25=-31145.012232 m26=50244.734687 m27=-81194.121407 m28=131414.708806 m29=-213013.152316 m30=345758.924743 m31=-561965.630794 m32=914499.147783
sym  r=-5.400 g=1.700 m0=1.000000 m1=0.000000 m2=0.789000 m3=0.000000 m4=0.773618 m5=0.000000 m6=0.846402 m7=0.000000 m8=0.991225 m9=0.000000 m10=1.215616 m11=0.000000 m12=1.541306 m13=0.000000 m14=2.004121 m15=0.000000 m16=2.657818 m17=0.000000 m18=3.581093 m19=0.000000 m20=4.888401 m21=0.000000 m22=6.746097 m23=0.000000 m24=9.396298 m25=0.000000 m26=13.192118 m27=0.000000 m28=18.649716 m29=0.000000 m30=26.525294 m31=0.000000 m32=37.929159
asym r=-5.500 g=1.700 m0=1.000000 m1=-0.935000 m2=1.271000 m3=-1.501320 m4=2.000799 m5=-2.595247 m6=3.522684 m7=-4.785035 m8=6.634939 m9=-9.259664 m10=13.071745 m11=-18.576154 m12=26.598643 m13=-38.302297 m14=55.462311 m15=-80.684796 m16=117.886827 m17=-172.900643 m18=254.478081 m19=-375.732760 m20=556.378856 m21=-826.071776 m22=1229.506769 m23=-1834.120783 m24=2741.808889 m25=-4106.708116 m26=6162.261733 m27=-9262.406030 m28=13944.332328 m29=-21024.178905 m30=31743.064028 m31=-47990.092708 m32=72643.166837
sym  r=-5.500 g=1.700 m0=1.000000 m1=0.000000 m2=0.803000 m3=0.000000 m4=0.796544 m5=0.000000 m6=0.880440 m7=0.000000 m8=1.041223 m9=0.000000 m10=1.289244 m11=0.000000 m12=1.650258 m13=0.000000 m14=2.166137 m15=0.000000 m16=2.899813 m17=0.000000 m18=3.943957 m19=0.000000 m20=5.434348 m21=0.000000 m22=7.569921 m23=0.000000 m24=10.642639 m25=0.000000 m26=15.081949 m27=0.000000 m28=21.521020 m29=0.000000 m30=30.895582 m31=0.000000 m32=44.591611
asym r=-5.400 g=1.750 m0=1.000000 m1=-1.221000 m2=1.556000 m3=-2.048838 m4=2.772704 m5=-3.835733 m6=5.403352 m7=-7.726241 m8=11.186846 m9=-16.369729 m10=24.171580 m11=-35.971854 m12=53.898891 m13=-81.245284 m14=123.117680 m15=-187.454978 m16=286.626537 m17=-439.944710 m18=677.620737 m19=-1047.001967 m20=1622.419223 m21=-2520.753727 m22=3926.075364 m23=-6128.683289 m24=9587.035458 m25=-15026.088809 m26=23593.612296 m27=-37108.883834 m28=58458.729561 m29=-92228.744464 m30=145710.184536 m31=-230507.382582 m32=365105.793096
